age,age_o,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,gender,race,race_o,samerace,field,decision
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,4,4,4,3,4,4,2,4,2,4,3,4,4,3,2,1,3,3,4,2,1,4,1,3,4,1,3,3,3,1,0,2,0,142,0
1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,3,4,2,4,4,3,3,3,3,4,3,3,0,2,2,4,4,4,1,2,3,1,3,3,3,3,1,4,4,2,3,0,2,2,1,178,1
0,1,2,2,1,1,0,0,0,1,0,1,1,0,1,0,3,4,4,4,4,2,4,3,1,3,1,1,2,1,4,4,3,3,0,4,4,2,4,4,4,4,4,3,2,2,2,0,0,0,1,19,0
0,1,2,2,1,0,1,1,0,0,2,1,0,0,0,0,4,4,4,4,4,2,2,2,2,3,1,2,2,0,4,3,3,3,1,3,3,3,4,3,4,4,3,3,3,0,2,0,4,2,0,192,0
0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,2,2,1,1,2,1,3,3,3,2,3,4,3,3,3,4,0,2,2,1,125,1
0,1,0,0,2,1,1,1,0,0,1,1,0,0,0,1,1,4,4,4,3,3,4,3,3,3,3,3,4,2,3,1,4,3,3,3,1,2,4,4,4,4,3,1,1,4,2,0,0,1,0,146,0
0,1,4,1,1,1,0,0,0,0,2,1,0,0,0,0,3,4,4,4,4,4,3,3,3,3,3,4,0,3,4,3,3,3,0,4,4,1,4,4,4,4,4,1,2,3,4,0,2,2,1,41,1
1,1,1,1,2,0,1,0,0,1,1,1,1,0,0,0,3,4,3,4,2,4,4,3,2,3,2,4,0,2,4,4,3,4,2,3,4,0,1,4,3,2,0,3,2,2,3,0,3,2,0,23,0
0,0,4,2,1,0,1,1,0,0,1,1,1,0,0,0,4,4,4,4,4,2,2,4,4,3,1,4,4,4,4,4,4,4,1,4,4,4,4,4,3,4,2,4,2,3,3,0,2,2,1,164,0
1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,3,3,3,3,3,3,2,2,4,4,3,4,4,1,4,3,2,3,4,3,3,1,2,3,2,3,1,2,2,1,105,1
1,0,4,1,1,0,1,0,0,0,2,0,0,0,0,0,4,4,4,4,4,2,3,3,3,3,3,1,1,3,4,4,4,2,2,4,4,3,4,2,4,4,4,1,2,1,2,0,0,2,0,15,0
1,1,1,0,2,1,1,1,0,0,0,1,1,0,0,0,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,2,4,3,3,4,4,4,3,3,2,3,4,0,2,1,0,192,1
1,0,3,0,0,1,0,1,0,0,1,1,1,0,0,0,3,4,3,4,4,3,4,3,3,3,3,4,3,4,3,4,3,4,3,4,4,3,4,4,4,4,2,1,3,3,3,1,0,0,1,142,1
2,1,1,4,0,0,2,0,0,0,1,1,1,1,0,0,4,4,4,4,4,2,3,3,2,3,2,2,1,4,4,3,4,2,0,2,4,2,4,4,4,4,2,4,3,1,2,0,2,2,1,13,0
0,1,1,2,2,0,1,0,0,0,0,1,1,0,0,0,3,4,4,4,3,3,3,4,4,4,4,4,1,4,4,0,0,2,0,2,3,4,0,4,4,4,4,0,3,1,3,0,0,2,0,121,1
1,1,1,1,2,1,1,1,0,0,0,1,1,0,0,1,2,3,2,4,4,2,2,3,1,2,1,3,1,3,3,3,3,1,1,2,3,2,2,4,2,3,3,3,4,3,2,0,0,1,0,120,0
1,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,3,4,4,4,4,3,4,4,3,4,1,4,4,4,4,4,4,2,4,0,4,4,4,4,4,3,4,3,2,2,3,0,2,2,1,105,0
0,1,0,2,0,0,1,0,0,1,1,1,1,0,0,1,3,3,4,4,4,2,3,4,3,3,3,2,1,4,4,4,2,1,0,2,4,2,3,2,2,4,3,2,2,2,3,0,4,2,0,195,0
1,0,0,0,0,0,0,1,1,0,2,1,1,1,0,0,4,4,4,4,4,4,4,4,4,4,3,2,1,1,4,3,4,4,0,1,3,0,4,3,4,4,0,1,2,3,4,1,2,3,0,142,1
0,1,3,1,1,1,1,0,0,0,0,1,1,0,0,0,3,4,3,4,2,3,4,4,3,4,3,1,1,2,4,3,4,3,2,3,4,4,4,4,3,4,3,3,3,2,3,0,0,2,0,121,0
0,0,1,0,0,0,1,1,1,0,2,0,0,1,0,0,4,3,3,4,3,3,3,3,3,4,3,4,3,3,3,2,2,4,3,1,2,1,2,4,4,4,1,1,1,2,3,1,2,2,1,74,1
0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,4,4,3,4,4,4,4,4,0,3,0,2,4,4,4,2,3,2,4,3,2,4,4,4,3,1,3,1,2,0,4,0,0,108,0
1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,4,4,3,4,2,3,3,3,3,3,2,2,3,4,4,4,4,2,1,4,4,4,4,4,2,2,4,1,4,2,3,0,4,2,0,193,0
0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,2,3,1,4,1,1,0,2,0,3,4,1,3,2,4,4,0,3,3,4,0,1,2,0,79,1
1,1,4,4,1,1,0,0,0,1,2,0,1,1,0,0,4,4,4,4,4,2,4,3,3,4,3,4,0,3,4,4,3,4,1,3,4,3,4,4,2,0,4,4,1,2,3,0,0,0,1,23,1
0,0,3,2,1,0,1,1,0,0,1,2,0,0,0,0,4,4,4,4,4,2,3,3,3,3,2,4,4,3,4,4,3,2,1,3,4,2,4,4,4,4,3,3,3,3,2,1,2,2,1,171,0
0,1,0,0,2,0,1,0,0,0,0,1,1,1,0,0,2,3,4,4,2,3,3,4,4,3,4,4,4,4,3,4,3,4,1,3,4,1,2,3,3,2,0,0,3,2,4,0,0,2,0,121,1
1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,3,4,4,4,4,4,3,4,4,4,2,3,3,4,4,4,4,4,3,2,4,3,3,4,4,4,3,3,3,3,4,0,2,2,1,192,0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,4,4,4,4,4,0,1,3,0,4,1,4,3,3,4,4,4,4,0,3,4,0,4,4,4,4,2,4,2,2,2,0,3,0,0,207,0
2,1,4,0,1,1,0,0,0,1,0,1,1,1,1,0,4,4,3,4,4,1,3,4,2,1,1,0,0,4,3,4,4,4,0,0,4,3,4,3,1,4,1,4,2,2,1,0,2,4,0,2,0
0,1,4,3,1,0,1,1,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,3,4,2,3,4,4,4,1,1,3,3,3,4,4,2,3,3,1,3,4,4,0,2,2,1,63,1
1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,4,4,3,3,3,3,3,3,4,2,4,4,4,4,1,0,4,4,2,2,2,1,4,4,3,2,2,3,0,2,2,1,23,0
1,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,3,4,3,4,3,2,3,4,4,4,3,2,2,3,4,4,4,3,2,4,4,2,3,3,3,3,3,2,2,3,4,0,2,2,1,121,1
1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,4,4,4,4,4,3,3,2,2,2,4,2,2,2,4,4,4,2,2,4,3,3,4,4,4,4,4,2,2,4,3,1,2,2,1,121,0
0,0,4,3,1,1,1,0,0,0,1,1,1,1,0,0,4,4,4,4,3,3,4,4,4,4,3,4,3,4,4,4,4,2,3,4,3,4,4,4,3,3,4,1,3,3,4,0,2,1,0,140,0
0,0,3,4,0,1,1,0,0,0,1,0,1,1,0,0,3,3,4,3,2,3,3,3,4,3,2,1,1,1,3,3,3,1,4,2,4,4,3,4,2,3,2,1,3,3,2,1,2,2,1,47,0
1,0,3,2,0,1,1,1,0,0,0,0,0,0,0,0,3,4,4,4,3,2,3,2,3,2,2,4,4,3,3,2,1,0,3,2,3,4,2,4,4,4,1,1,1,3,2,1,2,2,1,23,0
1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,2,4,4,4,4,2,4,4,3,3,2,4,3,0,3,1,3,4,2,1,4,3,2,3,3,4,1,0,3,3,4,1,0,2,0,144,1
1,1,1,3,0,1,1,0,1,1,1,0,1,1,0,0,4,2,3,4,4,4,4,4,3,3,4,4,4,4,4,2,2,3,1,2,2,2,2,4,1,2,2,1,2,3,4,1,2,0,0,36,1
1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,3,4,4,4,4,3,4,4,3,3,3,3,3,3,4,4,3,1,3,2,4,4,4,4,2,3,2,0,2,2,2,1,2,2,1,82,0
1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,3,4,4,4,3,3,3,3,4,2,1,3,1,1,2,4,4,2,0,0,4,0,3,3,2,3,1,0,3,1,2,1,2,2,1,9,0
1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,4,4,4,4,3,3,4,4,3,3,3,2,1,2,4,4,4,3,0,3,4,3,3,4,3,3,3,1,2,3,3,0,0,4,0,194,1
0,0,4,3,1,1,1,0,0,0,1,1,1,1,0,0,4,4,4,4,3,3,4,4,4,3,3,4,3,4,4,4,4,2,3,4,3,4,4,4,3,3,4,1,3,3,4,0,2,2,1,140,0
1,1,0,0,0,1,1,0,1,0,2,0,1,1,0,0,3,1,4,4,2,3,3,3,3,4,4,4,0,2,4,3,4,2,1,4,2,0,4,4,4,4,0,0,3,3,3,1,2,0,0,142,1
1,1,1,2,0,0,1,1,0,1,1,1,1,0,0,1,3,4,3,4,2,2,2,3,1,1,1,2,2,1,2,3,2,4,0,1,3,1,3,4,3,2,1,4,3,1,2,1,2,2,1,194,1
0,0,0,3,1,1,1,0,0,0,1,0,0,0,0,0,4,4,3,4,4,2,4,4,3,3,2,3,2,4,3,1,1,2,1,2,3,3,3,3,3,3,3,2,3,2,2,0,2,2,1,50,0
1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,2,3,4,4,4,2,3,3,2,2,2,3,4,3,4,2,2,2,3,4,3,2,3,4,4,3,3,1,2,2,2,1,2,2,1,23,0
1,1,1,2,0,0,1,1,0,1,1,1,0,1,0,0,2,4,3,4,3,1,2,2,1,1,2,4,2,1,4,2,2,3,2,2,4,1,3,3,2,3,1,1,3,2,2,1,2,2,1,194,0
1,0,0,0,2,0,0,2,0,0,1,0,1,1,0,0,3,3,4,3,3,4,4,4,4,4,4,2,1,0,4,3,3,1,1,4,4,4,4,4,4,4,4,1,2,3,4,0,4,2,0,132,1
0,1,4,0,1,0,0,0,0,1,1,0,1,1,0,0,3,1,3,4,4,2,2,3,3,3,2,3,2,3,3,3,4,3,3,4,3,4,3,3,1,3,4,1,2,3,3,0,2,2,1,121,1
1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,4,4,4,4,4,3,3,4,3,4,1,4,0,2,4,4,4,4,2,4,4,2,3,4,4,4,2,0,4,4,3,1,2,2,1,147,0
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,4,4,4,3,3,3,3,3,3,2,3,1,1,2,4,4,2,0,0,4,0,3,3,2,3,1,0,2,1,2,1,2,0,0,9,0
1,1,2,2,1,0,1,1,0,0,0,1,0,0,0,0,3,4,3,4,3,3,4,3,3,2,2,4,3,3,4,2,2,3,1,1,4,3,3,3,4,4,2,1,3,3,2,0,0,2,0,90,0
0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,4,2,3,4,3,3,3,3,3,2,1,0,1,4,2,2,4,2,3,4,1,2,3,4,4,1,4,3,3,3,1,0,2,0,174,1
1,0,2,2,0,0,1,0,0,1,0,1,0,0,0,0,3,4,3,4,3,2,4,3,2,2,2,4,3,3,4,2,2,3,1,1,4,3,3,3,4,4,2,1,2,3,2,0,0,2,0,90,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,2,4,4,4,2,3,3,2,2,3,1,1,0,4,4,4,1,1,4,4,4,4,4,3,3,4,3,2,3,2,0,2,2,1,132,1
0,1,2,1,1,0,2,0,0,0,1,0,1,1,0,0,4,3,4,4,4,4,3,4,3,3,2,3,0,3,3,3,4,3,4,4,4,4,4,4,4,4,3,1,2,3,4,1,2,2,1,121,0
1,0,1,2,1,1,1,1,0,0,1,0,1,1,0,0,4,4,4,4,3,4,3,3,4,3,3,4,2,4,4,2,1,2,0,0,1,2,1,3,1,4,4,3,2,4,4,1,2,2,1,23,1
1,1,0,0,1,1,1,0,0,0,2,0,1,1,0,0,3,1,4,4,2,4,3,4,3,3,3,4,0,2,4,3,4,2,1,4,2,0,4,4,4,4,0,0,3,3,4,1,2,0,0,142,1
2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,4,4,4,3,4,4,4,4,4,4,3,2,2,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,3,4,0,0,0,1,22,1
1,0,4,4,0,1,1,1,0,0,0,1,0,1,1,0,3,4,4,3,3,3,3,3,3,3,3,1,1,1,4,4,4,1,0,3,2,2,4,4,4,4,1,1,3,2,3,0,0,2,0,169,1
1,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,3,4,4,4,4,3,4,4,3,4,2,4,4,4,4,4,4,2,4,0,4,4,4,4,4,3,4,3,2,2,3,0,2,2,1,105,0
1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,3,4,3,4,2,1,3,3,2,4,2,3,2,2,4,4,4,4,2,4,4,0,4,4,4,4,0,4,2,3,3,0,3,2,0,194,1
0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,3,4,4,3,4,4,4,4,4,4,4,4,2,3,4,4,4,3,2,1,4,2,3,4,4,4,3,3,3,2,4,1,2,2,1,80,0
1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,4,3,4,4,3,3,3,3,2,3,2,4,3,4,4,4,4,2,1,4,4,4,4,4,3,3,3,4,4,2,3,0,0,2,0,23,1
0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,4,1,4,2,3,3,3,3,2,1,2,2,3,0,1,1,4,2,1,2,1,1,1,1,1,1,3,2,3,3,1,0,2,0,56,1
2,1,4,1,1,1,1,0,0,0,1,0,0,1,0,0,4,3,4,3,2,3,4,4,2,4,2,3,3,3,3,3,3,1,1,0,4,0,3,3,3,4,4,1,3,1,2,1,2,1,0,82,0
0,0,1,0,0,0,1,1,0,0,2,0,0,1,0,0,4,3,3,4,3,3,4,4,4,4,4,4,3,3,3,2,2,4,3,1,2,1,2,4,4,4,1,1,2,2,3,1,2,2,1,74,1
0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,4,3,3,3,3,2,4,4,3,3,4,4,1,2,4,4,4,3,0,4,4,1,3,4,4,4,3,1,3,4,3,1,2,2,1,39,0
0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,2,3,3,3,4,3,4,4,4,2,2,2,3,4,1,4,2,0,121,1
0,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,4,4,4,2,3,3,3,0,3,0,0,105,0
0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,3,4,4,4,4,3,4,4,4,4,3,4,4,2,2,2,2,0,3,4,4,3,2,4,3,4,2,0,2,3,4,1,1,2,0,121,0
1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,3,4,4,4,4,3,4,4,3,3,3,4,2,3,4,3,3,2,4,4,3,3,4,4,4,4,4,1,2,2,3,1,2,0,0,89,1
0,0,4,0,0,1,0,0,0,0,1,1,0,1,0,0,4,3,4,4,2,3,4,4,3,3,4,1,1,3,4,4,3,0,1,2,4,1,3,4,4,4,3,0,3,3,4,1,2,4,0,202,1
0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,2,4,1,3,1,3,4,4,3,3,1,3,1,2,2,3,3,1,1,2,3,1,3,3,2,3,1,1,3,2,3,1,2,0,0,70,0
1,0,4,0,1,0,1,1,0,0,1,1,1,0,0,0,3,3,3,3,4,3,4,4,4,3,4,3,2,4,4,4,4,3,4,1,4,4,4,4,4,4,4,0,1,3,3,0,2,2,1,80,1
1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,3,4,4,3,3,4,3,3,3,3,3,4,2,3,4,2,2,2,1,3,3,0,3,3,4,4,2,2,3,3,3,1,3,2,0,107,0
1,0,1,1,3,0,0,0,0,0,0,1,1,1,0,1,3,4,4,4,3,3,1,3,2,4,1,4,0,2,4,2,1,3,3,4,4,2,1,3,4,4,1,0,3,4,3,0,0,2,0,63,1
0,0,4,1,1,1,1,1,0,0,2,1,0,0,0,0,3,4,4,4,4,2,3,3,3,4,3,4,0,3,4,3,3,3,0,4,4,1,4,4,4,4,4,1,3,3,2,0,2,0,0,41,0
0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,3,3,3,4,4,1,4,4,1,4,0,4,4,4,3,3,3,3,1,3,3,2,3,4,2,3,2,0,3,3,1,1,2,0,0,121,0
0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,3,4,4,4,3,3,4,4,4,3,3,2,3,2,4,4,3,1,4,4,4,4,3,4,4,4,4,2,1,2,3,1,4,4,1,118,0
1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,4,3,3,4,0,2,1,1,3,1,3,2,2,4,1,0,2,0,69,1
0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,2,4,4,4,4,3,2,3,1,4,1,1,0,2,0,3,4,1,3,2,4,4,0,3,3,4,0,1,0,0,79,0
0,2,4,4,0,0,0,1,0,0,0,0,0,0,0,0,3,4,4,4,4,3,3,4,2,4,2,3,2,2,4,4,3,3,4,3,4,2,4,2,3,4,4,4,2,4,3,0,2,0,0,129,0
0,0,3,0,0,1,0,1,0,0,2,0,0,2,0,0,3,4,4,4,4,4,3,4,3,4,2,4,1,3,4,3,2,2,1,0,4,3,3,4,1,3,2,0,2,2,3,1,4,0,0,121,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,4,4,3,3,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,3,2,3,1,0,0,1,35,1
2,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,3,4,4,4,4,3,4,4,4,4,3,4,2,3,3,2,2,2,4,3,4,1,2,2,3,4,2,4,2,3,3,1,0,2,0,138,1
1,1,3,3,2,0,0,0,0,0,1,1,1,0,0,1,4,4,4,4,4,4,3,4,4,3,4,4,2,4,4,4,4,4,2,2,2,4,4,4,4,4,3,3,2,4,4,0,4,2,0,160,1
1,0,4,2,1,0,1,0,0,0,1,1,0,0,0,0,3,4,2,3,3,3,3,3,2,4,0,3,0,2,3,3,2,4,0,1,1,2,3,4,4,4,1,1,4,2,3,1,2,2,1,36,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,0,3,2,4,0,2,2,1,192,1
1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,3,4,4,4,4,2,3,4,3,4,1,2,0,1,2,1,1,4,0,2,3,0,0,3,2,2,1,4,2,2,4,0,2,0,0,97,0
0,0,1,2,1,0,1,0,0,1,0,0,1,1,0,0,3,3,2,3,3,2,3,3,2,4,2,2,1,2,4,4,4,1,1,4,4,4,4,4,4,4,4,4,1,3,2,0,0,3,0,121,0
1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,3,4,2,3,3,3,4,4,4,3,4,4,3,2,3,3,3,4,1,3,3,2,2,3,2,3,1,3,3,3,4,1,2,2,1,81,0
1,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,3,3,4,3,4,3,3,4,3,4,0,3,4,3,3,3,0,4,3,1,2,4,2,3,0,3,2,2,3,1,2,0,0,23,1
1,1,3,3,0,1,1,0,0,1,2,0,0,0,0,0,3,3,3,3,3,2,2,3,2,2,2,4,4,4,3,4,4,2,2,3,2,3,4,4,4,4,2,2,2,3,2,1,0,2,0,28,0
0,0,4,1,1,2,0,0,0,0,1,0,1,1,0,0,4,3,4,4,4,2,3,3,1,1,1,4,1,3,4,4,4,4,0,3,4,4,4,4,3,3,3,4,3,3,1,0,2,0,0,173,0
1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,4,4,4,4,4,4,4,4,4,1,0,1,3,3,2,1,2,0,4,3,3,3,3,2,1,0,2,3,3,1,2,1,0,142,1
1,1,4,4,2,0,0,0,0,0,1,1,1,0,1,0,4,4,4,4,2,4,4,4,4,4,2,0,0,0,2,3,3,3,0,1,4,2,3,3,3,4,4,3,1,0,3,0,1,0,0,178,1
1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,4,4,4,4,4,3,4,4,4,4,3,4,3,4,2,4,4,4,3,0,4,4,4,4,4,4,4,4,4,3,3,1,0,2,0,153,0
1,0,2,3,1,0,1,1,1,0,0,0,0,0,0,1,3,4,4,4,4,4,3,3,4,4,3,3,3,2,4,4,4,3,3,4,4,2,3,3,4,4,4,3,2,2,4,1,2,2,1,23,1
0,0,4,2,1,0,1,0,0,1,0,0,0,0,0,0,3,4,4,4,4,3,4,4,3,4,3,4,4,4,3,3,2,2,0,3,4,3,3,4,3,3,3,0,2,1,3,0,2,2,1,140,0
1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,3,3,4,4,4,3,3,4,4,3,3,2,3,4,4,3,3,4,3,3,3,3,4,4,3,4,1,0,2,3,4,1,0,2,0,23,1
0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,4,1,3,1,1,2,3,1,3,0,4,4,3,2,3,3,1,2,2,4,3,3,2,3,2,1,0,3,1,1,1,2,2,1,58,0
0,0,0,0,2,0,0,2,0,0,0,1,1,1,0,0,2,3,4,4,2,3,4,4,3,4,1,4,4,4,3,4,3,4,1,3,4,1,2,3,3,2,0,0,3,2,3,0,0,2,0,121,1
0,0,4,1,0,1,1,1,0,0,2,0,1,0,0,0,3,3,4,4,3,3,3,4,4,4,3,3,1,3,3,3,3,2,2,2,4,1,3,4,3,4,3,0,2,3,3,1,2,0,0,23,1
1,1,4,4,0,1,1,0,0,1,2,0,1,0,0,1,4,4,4,4,4,2,2,3,3,3,4,4,4,2,4,1,1,1,2,0,4,3,2,3,3,4,2,0,3,3,3,1,2,0,0,23,1
0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,2,4,2,3,2,2,4,4,2,2,2,4,4,3,2,4,4,3,1,0,4,3,3,4,3,3,2,0,2,2,2,0,0,0,1,36,0
2,0,1,3,1,0,1,0,0,0,1,0,1,0,0,0,2,2,2,4,4,3,3,3,3,3,3,3,0,4,3,3,2,1,1,0,4,0,1,2,4,4,1,2,4,2,2,1,2,2,1,90,1
1,1,1,2,0,1,1,0,0,0,1,0,1,1,0,0,4,4,4,4,3,3,4,3,1,3,3,4,2,4,4,2,1,2,0,0,1,2,1,3,1,4,4,3,2,4,2,1,2,2,1,23,0
0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,3,3,4,4,4,3,3,4,4,3,2,4,4,3,3,2,2,1,1,3,3,4,4,4,3,3,4,3,1,4,4,1,0,1,0,180,0
1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,3,4,4,4,4,3,3,3,3,3,3,4,3,4,4,3,3,4,1,4,3,2,3,3,2,3,3,1,3,2,3,0,0,4,0,33,0
